2020-01-04 18:51:41.156 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication on hxyl with PID 20240 (D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo\17SpringBoot-LogBackDemo\target\classes started by nantian in D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo)
2020-01-04 18:51:41.205 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2020-01-04 18:51:41.399 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-01-04 18:51:41.400 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-01-04 18:51:43.292 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-04 18:51:43.306 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-04 18:51:43.307 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-04 18:51:43.308 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-04 18:51:43.450 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-04 18:51:43.450 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2049 ms
2020-01-04 18:51:43.703 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-04 18:51:43.927 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-01-04 18:51:43.950 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-01-04 18:51:43.974 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-04 18:51:43.977 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 3.545 seconds (JVM running for 5.13)
2020-01-04 18:51:58.689 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-04 18:51:58.690 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-01-04 18:51:58.696 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-01-04 18:51:58.718 [http-nio-8080-exec-1] INFO  com.xyz.logbackdemo.controller.LogBackController - +++++info++++++
2020-01-04 18:53:48.931 [Thread-13] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-04 18:53:49.309 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication on hxyl with PID 20240 (D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo\17SpringBoot-LogBackDemo\target\classes started by nantian in D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo)
2020-01-04 18:53:49.310 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2020-01-04 18:53:49.578 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2020-01-04 18:53:49.664 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-04 18:53:49.664 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-04 18:53:49.665 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-04 18:53:49.666 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-04 18:53:49.712 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-04 18:53:49.712 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 397 ms
2020-01-04 18:53:49.786 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-04 18:53:49.855 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-01-04 18:53:49.870 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-01-04 18:53:49.873 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-04 18:53:49.874 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 0.622 seconds (JVM running for 131.026)
2020-01-04 18:53:49.876 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-01-04 18:53:58.960 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication on hxyl with PID 25900 (D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo\17SpringBoot-LogBackDemo\target\classes started by nantian in D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo)
2020-01-04 18:53:58.964 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2020-01-04 18:53:59.091 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-01-04 18:53:59.091 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-01-04 18:54:01.301 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-04 18:54:01.315 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-04 18:54:01.316 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-04 18:54:01.317 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-04 18:54:01.544 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-04 18:54:01.545 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2454 ms
2020-01-04 18:54:01.836 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-04 18:54:02.211 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-01-04 18:54:02.243 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-01-04 18:54:02.288 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-04 18:54:02.294 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 4.201 seconds (JVM running for 5.584)
2020-01-04 18:54:13.489 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-04 18:54:13.490 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-01-04 18:54:13.496 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2020-01-04 18:54:59.033 [Thread-13] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-04 18:54:59.385 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication on hxyl with PID 25900 (D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo\17SpringBoot-LogBackDemo\target\classes started by nantian in D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo)
2020-01-04 18:54:59.386 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2020-01-04 18:54:59.734 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2020-01-04 18:54:59.822 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-04 18:54:59.823 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-04 18:54:59.824 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-04 18:54:59.825 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-04 18:54:59.892 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-04 18:54:59.892 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 496 ms
2020-01-04 18:55:00.065 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-04 18:55:00.177 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-01-04 18:55:00.200 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-01-04 18:55:00.207 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-04 18:55:00.219 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 0.916 seconds (JVM running for 63.508)
2020-01-04 18:55:00.222 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-01-04 18:55:04.593 [http-nio-8080-exec-9] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-01-04 18:55:04.595 [http-nio-8080-exec-9] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-01-04 18:55:04.598 [http-nio-8080-exec-9] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2020-01-04 18:55:27.850 [Thread-20] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-04 18:55:28.263 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication on hxyl with PID 25900 (D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo\17SpringBoot-LogBackDemo\target\classes started by nantian in D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo)
2020-01-04 18:55:28.264 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2020-01-04 18:55:28.620 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2020-01-04 18:55:28.703 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-04 18:55:28.704 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-04 18:55:28.704 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-04 18:55:28.705 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-04 18:55:28.760 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-04 18:55:28.760 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 492 ms
2020-01-04 18:55:28.854 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-01-04 18:55:28.923 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-01-04 18:55:28.947 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-01-04 18:55:28.956 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-01-04 18:55:28.957 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Started LogbackdemoApplication in 0.778 seconds (JVM running for 92.247)
2020-01-04 18:55:28.962 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-01-04 18:55:41.426 [Thread-25] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-04 18:55:41.868 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - Starting LogbackdemoApplication on hxyl with PID 25900 (D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo\17SpringBoot-LogBackDemo\target\classes started by nantian in D:\CodeRepository\XyzSpringBootDemo\xyzspringbootdemo)
2020-01-04 18:55:41.868 [restartedMain] INFO  com.xyz.logbackdemo.LogbackdemoApplication - No active profile set, falling back to default profiles: default
2020-01-04 18:55:42.230 [restartedMain] WARN  org.apache.tomcat.util.modeler.Registry - The MBean registry cannot be disabled because it has already been initialised
2020-01-04 18:55:42.349 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-01-04 18:55:42.350 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-01-04 18:55:42.351 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-01-04 18:55:42.351 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.29]
2020-01-04 18:55:42.424 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-01-04 18:55:42.425 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 542 ms
